"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","15,267,509","100"
"2","youtube.com","24,326,089","100"
"3","www.blogger.com","31,254,337","100"
"4","microsoft.com","5,572,686","99"
"5","apple.com","6,836,790","99"
"6","wordpress.org","12,518,683","99"
"7","linkedin.com","13,260,205","99"
"8","support.google.com","5,748,636","99"
"9","play.google.com","4,006,826","98"
"10","en.wikipedia.org","7,212,607","98"
"11","maps.google.com","6,202,674","98"
"12","mozilla.org","2,587,367","98"
"13","docs.google.com","3,636,877","98"
"14","youtu.be","5,444,080","98"
"15","cloudflare.com","8,067,943","98"
"16","adobe.com","2,886,591","97"
"17","sites.google.com","2,394,326","97"
"18","whatsapp.com","4,720,409","97"
"19","bp.blogspot.com","18,316,090","97"
"20","googleusercontent.com","3,854,956","97"
"21","plus.google.com","11,022,337","97"
"22","accounts.google.com","2,557,393","97"
"23","europa.eu","2,425,512","97"
"24","drive.google.com","2,676,107","97"
"25","t.me","1,763,475","96"
"26","github.com","3,153,997","96"
"27","vk.com","1,870,092","96"
"28","istockphoto.com","3,723,834","96"
"29","policies.google.com","3,517,658","96"
"30","facebook.com","61,969,616","96"
"31","amazon.com","5,160,469","96"
"32","uol.com.br","694,598","96"
"33","vimeo.com","3,642,551","96"
"34","pt.wikipedia.org","426,419","95"
"35","fr.wikipedia.org","659,566","95"
"36","search.google.com","1,822,238","95"
"37","news.google.com","868,134","95"
"38","goo.gl","5,153,415","95"
"39","brandbucket.com","11,178,841","95"
"40","bbc.co.uk","1,754,701","95"
"41","es.wikipedia.org","995,368","95"
"42","nih.gov","1,578,209","95"
"43","netvibes.com","1,237,057","95"
"44","dailymotion.com","1,135,047","95"
"45","google.es","481,486","95"
"46","imdb.com","1,562,974","95"
"47","creativecommons.org","1,779,915","95"
"48","paypal.com","1,190,660","95"
"49","wikimedia.org","2,112,897","95"
"50","line.me","1,109,291","95"
"51","files.wordpress.com","7,671,875","95"
"52","workspace.google.com","962,473","95"
"53","wa.me","2,023,500","95"
"54","ok.ru","378,591","95"
"55","nytimes.com","2,223,266","95"
"56","w3.org","1,147,832","95"
"57","mail.google.com","694,221","95"
"58","gstatic.com","641,838","95"
"59","opera.com","1,034,433","95"
"60","googleblog.com","4,334,689","95"
"61","www.yahoo.com","1,322,515","95"
"62","jimdofree.com","1,702,511","95"
"63","developers.google.com","1,170,399","95"
"64","tiktok.com","1,445,821","95"
"65","draft.blogger.com","12,693,179","95"
"66","slideshare.net","1,005,133","95"
"67","cpanel.net","2,131,817","95"
"68","tools.google.com","1,855,498","95"
"69","medium.com","1,854,509","95"
"70","google.de","1,087,747","95"
"71","feedburner.com","1,798,210","95"
"72","live.com","1,023,371","95"
"73","google.com.br","299,014","95"
"74","cnn.com","1,674,780","95"
"75","theguardian.com","1,610,034","95"
"76","myspace.com","1,371,001","95"
"77","enable-javascript.com","8,215,011","95"
"78","www.weebly.com","6,765,468","95"
"79","globo.com","467,855","95"
"80","dropbox.com","1,128,023","95"
"81","gravatar.com","12,670,208","95"
"82","marketingplatform.google....","917,003","94"
"83","mirror.co.uk","428,613","94"
"84","wp.com","2,248,848","94"
"85","plesk.com","712,981","94"
"86","forbes.com","1,490,604","94"
"87","namecheap.com","1,086,807","94"
"88","forms.gle","959,013","94"
"89","ebay.com","965,366","94"
"90","reuters.com","971,519","94"
"91","dan.com","4,263,753","94"
"92","archive.org","1,388,864","94"
"93","bbc.com","940,251","94"
"94","booking.com","431,245","94"
"95","storage.googleapis.com","1,110,868","94"
"96","scribd.com","776,241","94"
"97","usatoday.com","898,856","94"
"98","reg.ru","526,202","94"
"99","nature.com","678,775","94"
"100","huffingtonpost.com","1,070,968","94"
"101","issuu.com","1,036,494","94"
"102","google.co.jp","649,634","94"
"103","independent.co.uk","784,764","94"
"104","buydomains.com","1,256,453","94"
"105","ig.com.br","159,115","94"
"106","soundcloud.com","1,922,169","94"
"107","businessinsider.com","880,661","94"
"108","abril.com.br","279,634","94"
"109","4shared.com","574,502","94"
"110","amazon.co.uk","809,361","94"
"111","twitter.com","61,470,014","94"
"112","office.com","752,321","94"
"113","estadao.com.br","138,656","94"
"114","networkadvertising.org","717,061","94"
"115","pixabay.com","510,883","94"
"116","msn.com","1,091,607","94"
"117","cbsnews.com","706,967","94"
"118","hugedomains.com","16,325,345","94"
"119","aliexpress.com","543,768","94"
"120","cdc.gov","953,586","94"
"121","photos.google.com","279,943","94"
"122","domainmarket.com","954,434","94"
"123","myaccount.google.com","377,389","94"
"124","amazon.de","570,200","94"
"125","www.gov.uk","654,036","94"
"126","bloomberg.com","889,009","94"
"127","wiley.com","703,285","94"
"128","nginx.org","1,145,959","94"
"129","change.org","511,044","94"
"130","telegram.me","443,168","94"
"131","get.google.com","629,480","94"
"132","indiatimes.com","514,039","94"
"133","spotify.com","1,822,922","94"
"134","amazon.co.jp","884,027","94"
"135","huffpost.com","1,199,383","94"
"136","time.com","858,324","94"
"137","samsung.com","426,829","94"
"138","aboutads.info","722,764","94"
"139","webmd.com","857,234","94"
"140","adssettings.google.com","480,317","94"
"141","nasa.gov","708,554","94"
"142","google.co.uk","593,690","94"
"143","thesun.co.uk","430,382","94"
"144","planalto.gov.br","126,427","94"
"145","cnet.com","762,130","94"
"146","www.gov.br","185,174","94"
"147","discord.com","505,463","94"
"148","mail.ru","482,892","94"
"149","hatena.ne.jp","1,635,781","94"
"150","telegraph.co.uk","1,018,299","94"
"151","terra.com.br","200,780","94"
"152","who.int","2,040,723","94"
"153","pinterest.com","9,117,419","94"
