Label,Num Of Sections,TLD,TLD Length,Domain,Domain Length,URL
good,2,com,3,google,6,google.com
good,2,nl,2,google,6,google.nl
good,2,edu,3,emich,5,emich.edu
good,3,edu,3,emich,5,canvas.emich.edu
good,3,com,3,www.theverge,8,www.theverge.com
good,2,com,3,theverge,8,theverge.com
bad,2,com,3,824555,6,824555.com
bad,2,com,3,retajconsultancy,16,retajconsultancy.com
bad,2,info,4,9779,4,9779.info
bad,2,com,3,chinacxyy,9,chinacxyy.com
bad,3,vn,2,com,3,grasslandhotel.com.vn
bad,3,com,3,readmyweather,13,microencapsulation.readmyweather.com
bad,2,com,3,0068555,7,0068555.com
bad,2,com,3,haishundl,9,haishundl.com
bad,2,nl,2,zoetekroon,10,zoetekroon.nl
bad,2,com,3,socialsocietyedu,16,socialsocietyedu.com
bad,2,ru,2,3cf,3,3cf.ru
